param1,param2,param3,var1
24.25,-1.6,0.5,0.081582
24.50,-1.6,0.5,0.081305
24.75,-1.6,0.5,0.081046
25.00,-1.6,0.5,0.080799
25.25,-1.6,0.5,0.080575
25.50,-1.6,0.5,0.080369
25.75,-1.6,0.5,0.080175
26.00,-1.6,0.5,0.080005
26.25,-1.6,0.5,0.079852
26.50,-1.6,0.5,0.079712
26.75,-1.6,0.5,0.079595
27.00,-1.6,0.5,0.079496
27.25,-1.6,0.5,0.07941
27.50,-1.6,0.5,0.079347
27.75,-1.6,0.5,0.079301
28.00,-1.6,0.5,0.079268
28.25,-1.6,0.5,0.079258
28.50,-1.6,0.5,0.079266
28.75,-1.6,0.5,0.079286
29.00,-1.6,0.5,0.079618333
29.25,-1.6,0.5,0.079950667
29.50,-1.6,0.5,0.080283
29.75,-1.6,0.5,0.080317
30.00,-1.6,0.5,0.080358
30.25,-1.6,0.5,0.080395
30.50,-1.6,0.5,0.080443
30.75,-1.6,0.5,0.080494
31.00,-1.6,0.5,0.080538
31.25,-1.6,0.5,0.08059
31.50,-1.6,0.5,0.08064
31.75,-1.6,0.5,0.080681
32.00,-1.6,0.5,0.080725
32.25,-1.6,0.5,0.080765
32.50,-1.6,0.5,0.08079
32.75,-1.6,0.5,0.080815
33.00,-1.6,0.5,0.080831
33.25,-1.6,0.5,0.080828
33.50,-1.6,0.5,0.080822
33.75,-1.6,0.5,0.080802
34.00,-1.6,0.5,0.080757
34.25,-1.6,0.5,0.080705
34.50,-1.6,0.5,0.080635
34.75,-1.6,0.5,0.080534
35.00,-1.6,0.5,0.080422
0.00,-1.4,0.5,0.98
0.25,-1.4,0.5,0.717669
0.50,-1.4,0.5,0.56894
0.75,-1.4,0.5,0.477209
1.00,-1.4,0.5,0.414939
1.25,-1.4,0.5,0.370038
1.50,-1.4,0.5,0.336115
1.75,-1.4,0.5,0.309493
2.00,-1.4,0.5,0.288193
2.25,-1.4,0.5,0.270715
2.50,-1.4,0.5,0.256015
2.75,-1.4,0.5,0.243636
3.00,-1.4,0.5,0.233004
3.25,-1.4,0.5,0.22367
3.50,-1.4,0.5,0.215573
3.75,-1.4,0.5,0.208411
4.00,-1.4,0.5,0.201928
4.25,-1.4,0.5,0.196196
4.50,-1.4,0.5,0.191018
4.75,-1.4,0.5,0.186217
5.00,-1.4,0.5,0.181917
5.25,-1.4,0.5,0.17797
5.50,-1.4,0.5,0.174242
5.75,-1.4,0.5,0.170863
6.00,-1.4,0.5,0.167725
6.25,-1.4,0.5,0.164717
6.50,-1.4,0.5,0.161961
6.75,-1.4,0.5,0.15938
7.00,-1.4,0.5,0.156875
7.25,-1.4,0.5,0.154558
7.50,-1.4,0.5,0.152373
7.75,-1.4,0.5,0.150231
8.00,-1.4,0.5,0.148233
8.25,-1.4,0.5,0.14634
8.50,-1.4,0.5,0.144467
8.75,-1.4,0.5,0.142708
9.00,-1.4,0.5,0.141035
9.25,-1.4,0.5,0.139367
9.50,-1.4,0.5,0.13779
9.75,-1.4,0.5,0.136286
10.00,-1.4,0.5,0.134777
10.25,-1.4,0.5,0.133344
10.50,-1.4,0.5,0.131973
10.75,-1.4,0.5,0.130592
11.00,-1.4,0.5,0.129274
11.25,-1.4,0.5,0.128011
11.50,-1.4,0.5,0.126734
11.75,-1.4,0.5,0.125511
12.00,-1.4,0.5,0.124338
12.25,-1.4,0.5,0.123147
12.50,-1.4,0.5,0.122005
12.75,-1.4,0.5,0.120907
13.00,-1.4,0.5,0.119791
13.25,-1.4,0.5,0.118718
13.50,-1.4,0.5,0.117686
13.75,-1.4,0.5,0.116636
14.00,-1.4,0.5,0.115624
14.25,-1.4,0.5,0.114652
14.50,-1.4,0.5,0.113661
14.75,-1.4,0.5,0.112706
15.00,-1.4,0.5,0.111788
15.25,-1.4,0.5,0.110852
15.50,-1.4,0.5,0.10995
15.75,-1.4,0.5,0.109084
16.00,-1.4,0.5,0.108199
16.25,-1.4,0.5,0.107348
16.50,-1.4,0.5,0.10653
16.75,-1.4,0.5,0.105696
17.00,-1.4,0.5,0.104894
17.25,-1.4,0.5,0.104125
17.50,-1.4,0.5,0.10334
17.75,-1.4,0.5,0.102587
18.00,-1.4,0.5,0.101865
18.25,-1.4,0.5,0.101129
18.50,-1.4,0.5,0.100424
18.75,-1.4,0.5,0.099751
19.00,-1.4,0.5,0.099064
19.25,-1.4,0.5,0.098408
19.50,-1.4,0.5,0.097783
19.75,-1.4,0.5,0.097146
20.00,-1.4,0.5,0.09654
20.25,-1.4,0.5,0.095964
20.50,-1.4,0.5,0.095378
20.75,-1.4,0.5,0.094823
21.00,-1.4,0.5,0.094297
21.25,-1.4,0.5,0.093762
21.50,-1.4,0.5,0.093259
21.75,-1.4,0.5,0.092785
22.00,-1.4,0.5,0.092303
22.25,-1.4,0.5,0.091852
22.50,-1.4,0.5,0.091431
22.75,-1.4,0.5,0.091002
23.00,-1.4,0.5,0.090606
23.25,-1.4,0.5,0.090238
23.50,-1.4,0.5,0.089864
23.75,-1.4,0.5,0.089523
24.00,-1.4,0.5,0.08921
24.25,-1.4,0.5,0.088892
24.50,-1.4,0.5,0.088606
24.75,-1.4,0.5,0.088348
25.00,-1.4,0.5,0.088087
25.25,-1.4,0.5,0.087858
25.50,-1.4,0.5,0.087657
25.75,-1.4,0.5,0.087452
26.00,-1.4,0.5,0.08728
26.25,-1.4,0.5,0.087136
26.50,-1.4,0.5,0.086989
26.75,-1.4,0.5,0.086874
27.00,-1.4,0.5,0.086787
27.25,-1.4,0.5,0.086698
27.50,-1.4,0.5,0.086641
27.75,-1.4,0.5,0.086611
28.00,-1.4,0.5,0.08658
28.25,-1.4,0.5,0.086579
28.50,-1.4,0.5,0.086607
28.75,-1.4,0.5,0.086633
29.00,-1.4,0.5,0.087014667
29.25,-1.4,0.5,0.087396333
29.50,-1.4,0.5,0.087778
29.75,-1.4,0.5,0.087826
30.00,-1.4,0.5,0.087891
30.25,-1.4,0.5,0.087941
30.50,-1.4,0.5,0.088003
30.75,-1.4,0.5,0.088079
31.00,-1.4,0.5,0.088137
31.25,-1.4,0.5,0.088202
31.50,-1.4,0.5,0.088278
31.75,-1.4,0.5,0.088332
32.00,-1.4,0.5,0.088389
32.25,-1.4,0.5,0.088452
32.50,-1.4,0.5,0.088491
32.75,-1.4,0.5,0.088527
33.00,-1.4,0.5,0.088565
33.25,-1.4,0.5,0.088574
33.50,-1.4,0.5,0.088575
33.75,-1.4,0.5,0.088574
34.00,-1.4,0.5,0.088539
34.25,-1.4,0.5,0.088491
34.50,-1.4,0.5,0.088435
34.75,-1.4,0.5,0.088341
