param1,param2,param3,var1
33.0,1.0,0.5,0.11316
34.0,1.0,0.5,0.113256
35.0,1.0,0.5,0.113025
0.0,1.2,0.5,0.98
1.0,1.2,0.5,0.426509
2.0,1.2,0.5,0.300442
3.0,1.2,0.5,0.245423
4.0,1.2,0.5,0.214352
5.0,1.2,0.5,0.194232
6.0,1.2,0.5,0.179987
7.0,1.2,0.5,0.169066
8.0,1.2,0.5,0.160289
9.0,1.2,0.5,0.152965
10.0,1.2,0.5,0.146589
11.0,1.2,0.5,0.140928
12.0,1.2,0.5,0.135827
13.0,1.2,0.5,0.131132
14.0,1.2,0.5,0.126793
15.0,1.2,0.5,0.122777
16.0,1.2,0.5,0.119032
17.0,1.2,0.5,0.115556
18.0,1.2,0.5,0.112359
19.0,1.2,0.5,0.109416
20.0,1.2,0.5,0.106747
21.0,1.2,0.5,0.104372
22.0,1.2,0.5,0.102276
23.0,1.2,0.5,0.100482
24.0,1.2,0.5,0.09901
25.0,1.2,0.5,0.097847
26.0,1.2,0.5,0.097012
27.0,1.2,0.5,0.096518
28.0,1.2,0.5,0.096347
29.0,1.2,0.5,0.096883667
30.0,1.2,0.5,0.097914
31.0,1.2,0.5,0.098251
32.0,1.2,0.5,0.098588
33.0,1.2,0.5,0.098831
34.0,1.2,0.5,0.098872
35.0,1.2,0.5,0.098597
0.0,1.4,0.5,0.98
1.0,1.4,0.5,0.414939
2.0,1.4,0.5,0.288193
3.0,1.4,0.5,0.233004
4.0,1.4,0.5,0.201928
5.0,1.4,0.5,0.181917
6.0,1.4,0.5,0.167725
7.0,1.4,0.5,0.156875
8.0,1.4,0.5,0.148233
9.0,1.4,0.5,0.141035
10.0,1.4,0.5,0.134777
11.0,1.4,0.5,0.129274
12.0,1.4,0.5,0.124338
13.0,1.4,0.5,0.119791
14.0,1.4,0.5,0.115624
15.0,1.4,0.5,0.111788
16.0,1.4,0.5,0.108199
17.0,1.4,0.5,0.104894
18.0,1.4,0.5,0.101865
19.0,1.4,0.5,0.099064
20.0,1.4,0.5,0.09654
21.0,1.4,0.5,0.094297
22.0,1.4,0.5,0.092303
23.0,1.4,0.5,0.090606
24.0,1.4,0.5,0.08921
25.0,1.4,0.5,0.088087
26.0,1.4,0.5,0.08728
27.0,1.4,0.5,0.086787
28.0,1.4,0.5,0.08658
29.0,1.4,0.5,0.087014667
30.0,1.4,0.5,0.087891
31.0,1.4,0.5,0.088137
32.0,1.4,0.5,0.088389
